ot receivers unique ratio acc
0.5 6 0 0.01 0.9579841635874525
0.5 6 0 0.02 0.9982346694905541
0.5 6 0 0.03 0.9999258281621011
0.5 6 0 0.04 0.9999968836081924
0.5 6 0 0.05 0.9999998690621916
0.5 6 0 0.06 0.9999999944985385
0.5 6 0 0.07 0.9999999997688515
0.5 6 0 0.08 0.9999999999902881
0.5 6 0 0.09 0.999999999999592
0.5 6 0 0.1 0.9999999999999829
0.5 6 0 0.15 1.0
0.5 6 0 0.2 1.0
0.5 6 0 0.25 1.0
0.5 6 0 0.3 1.0
0.5 6 0 0.4 1.0
0.5 6 0 0.5 1.0
0.5 6 0 0.8 1.0
0.5 6 0 1.0 1.0
0.5 6 100 0.01 0.9836774196948187
0.5 6 100 0.02 0.9997335733721809
0.5 6 100 0.03 0.999995651229972
0.5 6 100 0.04 0.999999929016852
0.5 6 100 0.05 0.9999999988413719
0.5 6 100 0.06 0.9999999999810882
0.5 6 100 0.07 0.9999999999996914
0.5 6 100 0.08 0.999999999999995
0.5 6 100 0.09 0.9999999999999999
0.5 6 100 0.1 1.0
0.5 6 100 0.15 1.0
0.5 6 100 0.2 1.0
0.5 6 100 0.25 1.0
0.5 6 100 0.3 1.0
0.5 6 100 0.4 1.0
0.5 6 100 0.5 1.0
0.5 6 100 0.8 1.0
0.5 6 100 1.0 1.0
0.5 6 300 0.01 0.9975928097074938
0.5 6 300 0.02 0.9999942054348957
0.5 6 300 0.03 0.9999999860513792
0.5 6 300 0.04 0.999999999966423
0.5 6 300 0.05 0.9999999999999192
0.5 6 300 0.06 0.9999999999999998
0.5 6 300 0.07 1.0
0.5 6 300 0.08 1.0
0.5 6 300 0.09 1.0
0.5 6 300 0.1 1.0
0.5 6 300 0.15 1.0
0.5 6 300 0.2 1.0
0.5 6 300 0.25 1.0
0.5 6 300 0.3 1.0
0.5 6 300 0.4 1.0
0.5 6 300 0.5 1.0
0.5 6 300 0.8 1.0
0.5 6 300 1.0 1.0
0.5 6 500 0.01 0.9996627915367668
0.5 6 500 0.02 0.9999998862904523
0.5 6 500 0.03 0.9999999999616562
0.5 6 500 0.04 0.9999999999999871
0.5 6 500 0.05 1.0
0.5 6 500 0.06 1.0
0.5 6 500 0.07 1.0
0.5 6 500 0.08 1.0
0.5 6 500 0.09 1.0
0.5 6 500 0.1 1.0
0.5 6 500 0.15 1.0
0.5 6 500 0.2 1.0
0.5 6 500 0.25 1.0
0.5 6 500 0.3 1.0
0.5 6 500 0.4 1.0
0.5 6 500 0.5 1.0
0.5 6 500 0.8 1.0
0.5 6 500 1.0 1.0
0.5 6 1000 0.01 0.9999981743232872
0.5 6 1000 0.02 0.9999999999966669
0.5 6 1000 0.03 1.0
0.5 6 1000 0.04 1.0
0.5 6 1000 0.05 1.0
0.5 6 1000 0.06 1.0
0.5 6 1000 0.07 1.0
0.5 6 1000 0.08 1.0
0.5 6 1000 0.09 1.0
0.5 6 1000 0.1 1.0
0.5 6 1000 0.15 1.0
0.5 6 1000 0.2 1.0
0.5 6 1000 0.25 1.0
0.5 6 1000 0.3 1.0
0.5 6 1000 0.4 1.0
0.5 6 1000 0.5 1.0
0.5 6 1000 0.8 1.0
0.5 6 1000 1.0 1.0
