ot receivers unique ratio acc
0.5 6 1 0.01 0.9570994587728181
0.5 6 1 0.02 0.9982171613724733
0.5 6 1 0.03 0.9999259097092745
0.5 6 1 0.04 0.9999969209938044
0.5 6 1 0.05 0.9999998720442441
0.5 6 1 0.06 0.9999999946824805
0.5 6 1 0.07 0.9999999997790172
0.5 6 1 0.08 0.9999999999908166
0.5 6 1 0.09 0.9999999999996183
0.5 6 1 0.1 0.9999999999999841
0.5 6 1 0.15 1.0
0.5 6 1 0.2 1.0
0.5 6 1 0.25 1.0
0.5 6 1 0.3 1.0
0.5 6 1 0.4 1.0
0.5 6 1 0.5 1.0
0.5 6 1 0.8 1.0
0.5 6 1 1.0 1.0
0.67 6 1 0.01 0.42299100268445
0.67 6 1 0.02 0.6670606170169036
0.67 6 1 0.03 0.8078909804580656
0.67 6 1 0.04 0.8896087322101301
0.67 6 1 0.05 0.9363032452601748
0.67 6 1 0.06 0.963246399415319
0.67 6 1 0.07 0.9788803431819098
0.67 6 1 0.08 0.9878137679957453
0.67 6 1 0.09 0.9929684344901702
0.67 6 1 0.1 0.9959594638865554
0.67 6 1 0.15 0.9997426309621645
0.67 6 1 0.2 0.999983674067916
0.67 6 1 0.25 0.9999989600911081
0.67 6 1 0.3 0.9999999340344818
0.67 6 1 0.4 0.999999999733464
0.67 6 1 0.5 0.9999999999989231
0.67 6 1 0.8 1.0
0.67 6 1 1.0 1.0
0.75 6 1 0.01 0.13852938561749506
0.75 6 1 0.02 0.25861071012942705
0.75 6 1 0.03 0.3619537684070828
0.75 6 1 0.04 0.4508917255589273
0.75 6 1 0.05 0.527432524275096
0.75 6 1 0.06 0.593304217933483
0.75 6 1 0.07 0.6499939846749394
0.75 6 1 0.08 0.6987817032641603
0.75 6 1 0.09 0.7407688487748574
0.75 6 1 0.1 0.7769033604739952
0.75 6 1 0.15 0.8946772405539606
0.75 6 1 0.2 0.9502776748188748
0.75 6 1 0.25 0.9765263497232598
0.75 6 1 0.3 0.9889071163426717
0.75 6 1 0.4 0.9975276903785825
0.75 6 1 0.5 0.9994489877426853
0.75 6 1 0.8 0.9999938876851359
0.75 6 1 1.0 0.9999996963854922
