ot receivers unique ratio acc
0.5 3 0 0.01 0.9999999999974788
0.5 3 0 0.02 1.0
0.5 3 0 0.03 1.0
0.5 3 0 0.04 1.0
0.5 3 0 0.05 1.0
0.5 3 0 0.06 1.0
0.5 3 0 0.07 1.0
0.5 3 0 0.08 1.0
0.5 3 0 0.09 1.0
0.5 3 0 0.1 1.0
0.5 3 0 0.15 1.0
0.5 3 0 0.2 1.0
0.5 3 0 0.25 1.0
0.5 3 0 0.3 1.0
0.5 3 0 0.4 1.0
0.5 3 0 0.5 1.0
0.5 3 0 0.8 1.0
0.5 3 0 1.0 1.0
0.5 6 0 0.01 0.9569155050720177
0.5 6 0 0.02 0.9981437262968007
0.5 6 0 0.03 0.9999200233850496
0.5 6 0 0.04 0.9999965542479388
0.5 6 0 0.05 0.9999998515415128
0.5 6 0 0.06 0.999999993603741
0.5 6 0 0.07 0.9999999997244204
0.5 6 0 0.08 0.9999999999881268
0.5 6 0 0.09 0.9999999999994884
0.5 6 0 0.1 0.9999999999999779
0.5 6 0 0.15 1.0
0.5 6 0 0.2 1.0
0.5 6 0 0.25 1.0
0.5 6 0 0.3 1.0
0.5 6 0 0.4 1.0
0.5 6 0 0.5 1.0
0.5 6 0 0.8 1.0
0.5 6 0 1.0 1.0
0.5 9 0 0.01 0.3232008624855931
0.5 9 0 0.02 0.5419429274597549
0.5 9 0 0.03 0.689987368372388
0.5 9 0 0.04 0.7901837182958608
0.5 9 0 0.05 0.8579965215061587
0.5 9 0 0.06 0.9038921682313226
0.5 9 0 0.07 0.9349543023505794
0.5 9 0 0.08 0.9559771279318493
0.5 9 0 0.09 0.9702053581533685
0.5 9 0 0.1 0.9798350120956492
0.5 9 0 0.15 0.997136501573796
0.5 9 0 0.2 0.9995933732628174
0.5 9 0 0.25 0.9999422575888715
0.5 9 0 0.3 0.9999918003767632
0.5 9 0 0.4 0.9999998346546967
0.5 9 0 0.5 0.999999996665814
0.5 9 0 0.8 0.9999999999999727
0.5 9 0 1.0 1.0
