ot receivers unique ratio acc
0.5 3 0 0.01 0.9999999999996793
0.5 3 0 0.02 1.0
0.5 3 0 0.03 1.0
0.5 3 0 0.04 1.0
0.5 3 0 0.05 1.0
0.5 3 0 0.06 1.0
0.5 3 0 0.07 1.0
0.5 3 0 0.08 1.0
0.5 3 0 0.09 1.0
0.5 3 0 0.1 1.0
0.5 3 0 0.15 1.0
0.5 3 0 0.2 1.0
0.5 3 0 0.25 1.0
0.5 3 0 0.3 1.0
0.5 3 0 0.4 1.0
0.5 3 0 0.5 1.0
0.5 3 0 0.8 1.0
0.5 3 0 1.0 1.0
0.5 6 0 0.01 0.9579841635874525
0.5 6 0 0.02 0.9982346694905541
0.5 6 0 0.03 0.9999258281621011
0.5 6 0 0.04 0.9999968836081924
0.5 6 0 0.05 0.9999998690621916
0.5 6 0 0.06 0.9999999944985385
0.5 6 0 0.07 0.9999999997688515
0.5 6 0 0.08 0.9999999999902881
0.5 6 0 0.09 0.999999999999592
0.5 6 0 0.1 0.9999999999999829
0.5 6 0 0.15 1.0
0.5 6 0 0.2 1.0
0.5 6 0 0.25 1.0
0.5 6 0 0.3 1.0
0.5 6 0 0.4 1.0
0.5 6 0 0.5 1.0
0.5 6 0 0.8 1.0
0.5 6 0 1.0 1.0
0.5 9 0 0.01 0.3234591731637225
0.5 9 0 0.02 0.542292509623686
0.5 9 0 0.03 0.690342196011651
0.5 9 0 0.04 0.7905038532534164
0.5 9 0 0.05 0.8582673036610522
0.5 9 0 0.06 0.9041120444291133
0.5 9 0 0.07 0.9351278832544321
0.5 9 0 0.08 0.9561113644983339
0.5 9 0 0.09 0.9703075462489869
0.5 9 0 0.1 0.9799118427884916
0.5 9 0 0.15 0.9971528513139323
0.5 9 0 0.2 0.9995964659398457
0.5 9 0 0.25 0.9999428060295897
0.5 9 0 0.3 0.9999918937443594
0.5 9 0 0.4 0.9999998371602623
0.5 9 0 0.5 0.9999999967288498
0.5 9 0 0.8 0.9999999999999735
0.5 9 0 1.0 1.0
