ot receivers unique ratio acc
0.5 6 0 0.01 0.9569155050720177
0.5 6 0 0.02 0.9981437262968007
0.5 6 0 0.03 0.9999200233850496
0.5 6 0 0.04 0.9999965542479388
0.5 6 0 0.05 0.9999998515415128
0.5 6 0 0.06 0.999999993603741
0.5 6 0 0.07 0.9999999997244204
0.5 6 0 0.08 0.9999999999881268
0.5 6 0 0.09 0.9999999999994884
0.5 6 0 0.1 0.9999999999999779
0.5 6 0 0.15 1.0
0.5 6 0 0.2 1.0
0.5 6 0 0.25 1.0
0.5 6 0 0.3 1.0
0.5 6 0 0.4 1.0
0.5 6 0 0.5 1.0
0.5 6 0 0.8 1.0
0.5 6 0 1.0 1.0
0.5 6 100 0.01 0.9528259541980153
0.5 6 100 0.02 0.9977746094026723
0.5 6 100 0.03 0.9998950193220344
0.5 6 100 0.04 0.9999950476366893
0.5 6 100 0.05 0.9999997663769864
0.5 6 100 0.06 0.9999999889790573
0.5 6 100 0.07 0.9999999994800975
0.5 6 100 0.08 0.9999999999754741
0.5 6 100 0.09 0.999999999998843
0.5 6 100 0.1 0.9999999999999454
0.5 6 100 0.15 1.0
0.5 6 100 0.2 1.0
0.5 6 100 0.25 1.0
0.5 6 100 0.3 1.0
0.5 6 100 0.4 1.0
0.5 6 100 0.5 1.0
0.5 6 100 0.8 1.0
0.5 6 100 1.0 1.0
0.5 6 300 0.01 0.9428680334381458
0.5 6 300 0.02 0.9967359383967752
0.5 6 300 0.03 0.9998135177416287
0.5 6 300 0.04 0.9999893459018504
0.5 6 300 0.05 0.9999993913104208
0.5 6 300 0.06 0.9999999652243673
0.5 6 300 0.07 0.9999999980131997
0.5 6 300 0.08 0.9999999998864902
0.5 6 300 0.09 0.999999999993515
0.5 6 300 0.1 0.9999999999996295
0.5 6 300 0.15 1.0
0.5 6 300 0.2 1.0
0.5 6 300 0.25 1.0
0.5 6 300 0.3 1.0
0.5 6 300 0.4 1.0
0.5 6 300 0.5 1.0
0.5 6 300 0.8 1.0
0.5 6 300 1.0 1.0
0.5 6 500 0.01 0.9308081084112916
0.5 6 500 0.02 0.9952124821383764
0.5 6 500 0.03 0.9996687425831395
0.5 6 500 0.04 0.9999770796727246
0.5 6 500 0.05 0.9999984140992
0.5 6 500 0.06 0.9999998902685238
0.5 6 500 0.07 0.9999999924074716
0.5 6 500 0.08 0.9999999994746586
0.5 6 500 0.09 0.9999999999636506
0.5 6 500 0.1 0.9999999999974849
0.5 6 500 0.15 1.0
0.5 6 500 0.2 1.0
0.5 6 500 0.25 1.0
0.5 6 500 0.3 1.0
0.5 6 500 0.4 1.0
0.5 6 500 0.5 1.0
0.5 6 500 0.8 1.0
0.5 6 500 1.0 1.0
0.5 6 1000 0.01 0.8888807283556424
0.5 6 1000 0.02 0.9876525074692275
0.5 6 1000 0.03 0.9986279556233464
0.5 6 1000 0.04 0.9998475394282025
0.5 6 1000 0.05 0.9999830586923074
0.5 6 1000 0.06 0.9999981174942285
0.5 6 1000 0.07 0.9999997908173298
0.5 6 1000 0.08 0.999999976755774
0.5 6 1000 0.09 0.9999999974171185
0.5 6 1000 0.1 0.9999999997129921
0.5 6 1000 0.15 0.9999999999999951
0.5 6 1000 0.2 1.0
0.5 6 1000 0.25 1.0
0.5 6 1000 0.3 1.0
0.5 6 1000 0.4 1.0
0.5 6 1000 0.5 1.0
0.5 6 1000 0.8 1.0
0.5 6 1000 1.0 1.0
