ot receivers unique ratio acc
0.5 6 1000 0.01 0.8888807283556424
0.5 6 1000 0.02 0.9876525074692275
0.5 6 1000 0.03 0.9986279556233464
0.5 6 1000 0.04 0.9998475394282025
0.5 6 1000 0.05 0.9999830586923074
0.5 6 1000 0.06 0.9999981174942285
0.5 6 1000 0.07 0.9999997908173298
0.5 6 1000 0.08 0.999999976755774
0.5 6 1000 0.09 0.9999999974171185
0.5 6 1000 0.1 0.9999999997129921
0.5 6 1000 0.15 0.9999999999999951
0.5 6 1000 0.2 1.0
0.5 6 1000 0.25 1.0
0.5 6 1000 0.3 1.0
0.5 6 1000 0.4 1.0
0.5 6 1000 0.5 1.0
0.5 6 1000 0.8 1.0
0.5 6 1000 1.0 1.0
0.67 6 1000 0.01 0.1731475743939448
0.67 6 1000 0.02 0.3163150662693829
0.67 6 1000 0.03 0.4346934541945241
0.67 6 1000 0.04 0.5325749113897618
0.67 6 1000 0.05 0.6135084316934991
0.67 6 1000 0.06 0.6804285092694815
0.67 6 1000 0.07 0.7357615377349278
0.67 6 1000 0.08 0.7815137865377109
0.67 6 1000 0.09 0.8193441444372239
0.67 6 1000 0.1 0.8506242676279814
0.67 6 1000 0.15 0.9422675389286064
0.67 6 1000 0.2 0.977686890578323
0.67 6 1000 0.25 0.9913761713458216
0.67 6 1000 0.3 0.99666696293864
0.67 6 1000 0.4 0.9995021251479362
0.67 6 1000 0.5 0.9999256295793434
0.67 6 1000 0.8 0.9999997521206316
0.67 6 1000 1.0 0.9999999944690405
0.75 6 1000 0.01 0.029557586181377715
0.75 6 1000 0.02 0.05824152146188588
0.75 6 1000 0.03 0.08607762885331927
0.75 6 1000 0.04 0.11309096810157637
0.75 6 1000 0.05 0.1393058582469563
0.75 6 1000 0.06 0.16474589951762886
0.75 6 1000 0.07 0.18943399457598564
0.75 6 1000 0.08 0.213392369137001
0.75 6 1000 0.09 0.23664259197716342
0.75 6 1000 0.1 0.25920559435199153
0.75 6 1000 0.15 0.3624025948153312
0.75 6 1000 0.2 0.4512236485606139
0.75 6 1000 0.25 0.5276714091835109
0.75 6 1000 0.3 0.5934695489017774
0.75 6 1000 0.4 0.6988445161008754
0.75 6 1000 0.5 0.7769057022973096
0.75 6 1000 0.8 0.909305374517484
0.75 6 1000 1.0 0.9502289343325433
